date,training_goal,session,pattern,exercise,load_lb,load_basis,sets,reps,notes
2026-08-10,Patellar rehab block,Upper,Vertical press,Seated DB shoulder press,25,per_hand,3,"8,9,9","GRADUATED 22.5->25; landed bottom of range as planned. Hold 25, build to 3x10"
2026-08-10,Patellar rehab block,Upper,Vertical pull,Lat pulldown,100,total,3,"8,9,9","GRADUATED to pre-illness 100; landed 8,9,9. Fully back to pre-illness pulldown strength. Hold 100, build to 3x10"
2026-08-10,Patellar rehab block,Upper,Finisher,Hammer curl,22.5,per_hand,2,"12,12",Arms superset with OH triceps ext
2026-08-10,Patellar rehab block,Upper,Finisher,Overhead triceps extension,30,total,2,"12,12",Arms superset with hammer curl
2026-08-12,Patellar rehab block,Lower,Squat,Leg press,180,total,3,"8,8,8","~3s descent; NEW rotation (from back squat) for variety. Opened 180 (above the ~170 suggestion), 3x8 clean ~RIR2. New knee-dominant baseline; build to 3x10 then +5-10. Knee quiet"
2026-08-12,Patellar rehab block,Lower,Hinge,Trap-bar deadlift,145,total,3,"8,8,8","NEW rotation (from DB RDL). 145 x 3x8 clean, normal tempo. New hinge baseline; build to 3x10 then +5-10"
2026-08-12,Patellar rehab block,Lower,Squat,DB reverse lunge,25,per_hand,3,"8,8,8",Single-leg per side; NEW rotation (from split squat). 25/hand x 3x8. Build to 3x10/side
2026-08-12,Patellar rehab block,Lower,Finisher,Copenhagen plank,,bodyweight,2,"30s,30s",Glute-med/adductor insurance; 30s hold per side (time-based)
2026-08-14,Patellar rehab block,Mix,Horizontal push,Incline DB bench,40,per_hand,3,"12,12,12",Top of range all sets clean -> GRADUATE to 45 next time
2026-08-14,Patellar rehab block,Mix,Horizontal pull,1-arm DB row,55,per_hand,3,"10,10,10","NEW rotation (single-arm DB); per working arm. Hold 55, chase 3x12"
2026-08-14,Patellar rehab block,Mix,Vertical press,BB overhead press,65,total,3,"8,8,8",NEW movement baseline; strict barbell (harder lever than 25 DBs). 3x8 clean. Build to 3x10 then +5
2026-08-14,Patellar rehab block,Mix,Hinge,Single-leg RDL,25,per_hand,3,"8,8,8",Light hinge per side; deliberately no knee-dominant load to keep tendon fresh for Sat decline test
2026-08-14,Patellar rehab block,Mix,Finisher,Face pulls,30,total,2,"15,15","Posture/rear-delt; set 1 at 25 lb, set 2 at 30 lb cable"
2026-08-17,Post-rehab base,Upper,Horizontal push,Flat DB bench,45,per_hand,3,"10,10,10","Post-rehab base Wk1. Hold 45, chase 3x12 (Aug 10 was 9,10,10) before 50s"
2026-08-17,Post-rehab base,Upper,Horizontal pull,Chest-supported row,60,per_arm,3,"11,11,11","Technogym (Hevy labels it chest-supported T-bar row); per arm. Consistent 11s, one rep from graduating -> chase 3x12"
2026-08-17,Post-rehab base,Upper,Vertical press,Seated DB shoulder press,25,per_hand,3,"9,9,9","Building to 3x10 (Aug 10 was 8,9,9) -> one more rep/set graduates to 27.5-30"
2026-08-17,Post-rehab base,Upper,Vertical pull,Lat pulldown,100,total,3,"9,9,9","Building to 3x10 (Aug 10 was 8,9,9) -> one more rep/set graduates to 105-110"
2026-08-17,Post-rehab base,Upper,Finisher,Hammer curl,22.5,per_hand,2,"12,12",Arms superset with triceps ext
2026-08-17,Post-rehab base,Upper,Finisher,Overhead triceps extension,30,total,2,"12,12",DB triceps extension; arms superset with hammer curl
2026-08-21,Post-rehab base,Mix,Horizontal push,Incline DB bench,45,per_hand,3,"8,8,8","Post-rehab base Wk1. FIRST exposure at the graduated 45 (Aug 14 was 40x12,12,12 -> graduate). Expected reset to the bottom of the range; now chase 3x12 at 45"
2026-08-21,Post-rehab base,Mix,Horizontal pull,1-arm DB row,55,per_hand,3,"11,11,11","Per working arm. Aug 14 was 55x10,10,10 -> +1 rep/set. One rep from 3x12 -> next exposure should graduate to 60"
2026-08-21,Post-rehab base,Mix,Squat,Back squat,115,total,3,"12,12,12","GRADUATE. Top of range clean across all sets. ~3s DESCENT DROPPED (now optional per block plan) - normal-tempo squats from here, so the jump vs Aug 5 (115x8,10,8 at ~3s tempo) is partly tempo, not pure strength. Next exposure bump to 120 (not 125) and rebuild from 3x8"
2026-08-21,Post-rehab base,Mix,Hinge,Single-leg RDL,25,per_hand,2,"9,9","STOPPED ONE SET SHORT - lower back started talking on set 2. Correct call. Reps up vs Aug 14 (25x8,8,8). Likely cause is erector fatigue/form breakdown, not load: 36 reps of 115 back squat immediately preceded it. Fix = sequence hinge before squat, or use a supported hinge, not more load"
2026-08-21,Post-rehab base,Mix,Finisher,Face pulls,30,total,2,"15,15","Posture/rear-delt; both sets at 30 lb cable (Aug 14 was 25 then 30) - small progression"
2026-08-24,Post-rehab base,Upper,Horizontal push,Incline DB bench,45,per_hand,3,"9,9,9","Post-rehab base Wk2. ABBREVIATED session (ran out of time) - only 2 of 4 upper slots hit; horizontal pull + vertical pull skipped. Incline rotated in on the Upper day (vs flat bench). +1 rep/set vs Aug 21 (45x8,8,8) - chase 3x12 at 45"
2026-08-24,Post-rehab base,Upper,Vertical press,Seated DB shoulder press,25,per_hand,3,"10,10,10","GRADUATE. 3x10 clean (Aug 17 was 9,9,9; Aug 10 was 8,9,9) - top of the build target hit across all sets. Next exposure -> 27.5-30 lb/hand, rebuild from 3x8"
2026-08-26,Post-rehab base,Lower,Hinge,Trap-bar deadlift,145,total,3,"10,10,10","GRADUATE. Hit the 3x10 build target across all sets (Aug 12 was 145x8,8,8). Sequenced FIRST this session per the Aug 21 fix (hinge before squat) - and the lower back stayed quiet, confirming that diagnosis was sequencing not load. Next exposure -> 155, rebuild from 3x8"
2026-08-26,Post-rehab base,Lower,Squat,Back squat,120,total,3,"8,8,8","First exposure at the graduated 120 (from 115x12,12,12 on Aug 21); clean 3x8 as prescribed, the expected reset to the bottom of the range. ~3s descent prescribed for this first exposure at a novel load. Now chase 3x12 at 120"
2026-08-26,Post-rehab base,Lower,Squat,DB reverse lunge,25,per_hand,3,"9,9,9","Single-leg per side; +1 rep/set vs Aug 12 (25x8,8,8). One rep/set from the 3x10 target -> next exposure should graduate to 30/hand"
2026-08-26,Post-rehab base,Lower,Finisher,Copenhagen plank,,bodyweight,2,"30s,30s",Glute-med/adductor insurance; 30s hold per side (time-based)
2026-08-28,Post-rehab base,Upper,Horizontal push,Incline DB bench,45,per_hand,3,"8,8,8","SWAPPED SESSION - planned Mix day changed to Upper because glutes were sore from Wed's lower session (correct call). Notebook left at home, so loads were run from memory. 8,8,8 is a REGRESSION from Mon Aug 24's 9,9,9 at the same load - 3rd upper-pattern exposure in 5 days plus no reference sheet"
2026-08-28,Post-rehab base,Upper,Vertical press,Seated DB shoulder press,25,per_hand,3,"9,10,10","MISSED GRADUATION - this should have been 27.5-30 lb/hand (Aug 24 hit 25x10,10,10 = graduated). Ran 25 again from memory without the notebook. Not a setback, just a repeated week at the old load. Next exposure MUST go to 27.5-30, rebuild from 3x8"
2026-08-28,Post-rehab base,Upper,Horizontal pull,Chest-supported row,60,per_arm,3,"11,11,12","Technogym; per arm. Aug 17 was 11,11,11 -> now 11,11,12. One rep from 3x12 and graduation to 65-70"
2026-08-28,Post-rehab base,Upper,Vertical pull,Lat pulldown,100,total,3,"9,10,10","Aug 17 was 9,9,9 -> now 9,10,10. One rep from the 3x10 build target -> next exposure should graduate to 105-110"
2026-08-31,Post-rehab base,Upper,Horizontal push,Flat DB bench,45,per_hand,3,"10,11,11","Post-rehab base Wk3 Monday (notebook back in hand). +1 rep vs Aug 17 (45x10,10,10); now 10,11,11 - one rep from 3x12 and graduation to 50"
2026-08-31,Post-rehab base,Upper,Vertical press,Seated DB shoulder press,27.5,per_hand,3,"8,9,9","GRADUATED off 25 at last - first exposure at 27.5 (earned Aug 24 via 25x10,10,10, then repeated 25 from memory Aug 28). Clean 8,9,9 rebuild from the bottom. Chase 3x10 -> 3x12 at 27.5"
2026-08-31,Post-rehab base,Upper,Horizontal pull,Chest-supported row,60,per_arm,3,"12,12,12","GRADUATE. Technogym; per arm. 3x12 clean across all sets (Aug 28 was 11,11,12). Next exposure -> 65, rebuild from 3x8-10"
2026-08-31,Post-rehab base,Upper,Vertical pull,Lat pulldown,100,total,3,"10,10,10","GRADUATE. Hit the 3x10 build target clean (Aug 28 was 9,10,10). Next exposure -> 105-110, rebuild from 3x8"
2026-08-31,Post-rehab base,Upper,Finisher,Hammer curl,25,per_hand,2,"10,10","Arms superset with triceps ext; bumped 22.5 -> 25, reset to 10s. Chase 2x12 at 25"
2026-08-31,Post-rehab base,Upper,Finisher,Overhead triceps extension,30,total,2,"12,12","DB triceps extension; arms superset with hammer curl; 2x12 clean at 30"
